AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP
4.5878,1018.7,83.675,3.5758,23.979,1086.2,549.83,11.898
4.2932,1018.3,84.235,3.5709,23.951,1086.1,550.05,11.892
3.9045,1018.4,84.858,3.5828,23.99,1086.5,550.19,12.042
3.7436,1018.3,85.434,3.5808,23.911,1086.5,550.17,11.99
3.7516,1017.8,85.182,3.5781,23.917,1085.9,550.0,11.91
3.8858,1017.7,83.946,3.5824,23.903,1086.0,549.98,11.868
3.6697,1018.0,84.114,3.5804,23.889,1085.9,550.04,11.877
3.5892,1018.2,83.867,3.5777,23.876,1086.0,549.88,11.893
3.7108,1018.5,84.948,3.6027,23.957,1086.3,549.98,11.87
4.8281,1018.5,85.346,3.5158,23.422,1083.1,549.8,11.694
6.0334,1018.4,86.054,3.5748,23.989,1085.8,550.04,11.804
7.9896,1017.9,87.541,4.3905,30.128,1094.5,534.81,13.333
9.8712,1017.2,84.249,4.6983,32.341,1100.2,530.58,13.929
10.722,1016.5,80.263,4.7526,32.739,1100.2,528.93,14.049
11.017,1016.3,78.128,4.744,32.672,1100.1,529.06,14.018
10.946,1016.2,77.96,4.6919,32.424,1100.3,530.67,13.945
10.755,1015.9,79.267,4.7117,32.632,1100.2,529.35,14.025
10.175,1015.8,81.423,4.6407,32.286,1099.8,530.67,13.826
9.5069,1015.7,82.518,4.6187,32.218,1099.8,530.75,13.913
5.388,1014.3,90.459,3.63,24.064,1084.8,549.11,11.814
5.4906,1013.9,88.626,3.2829,21.254,1069.3,549.65,11.132
5.4522,1013.6,87.772,3.6333,23.994,1085.1,549.71,11.792
5.4774,1013.4,87.768,3.5139,23.013,1079.7,550.13,11.605
5.3784,1013.1,86.562,3.5598,23.419,1082.2,550.1,11.667
5.2236,1012.8,87.093,3.5058,22.94,1079.4,550.09,11.686
5.2513,1012.7,87.374,3.6241,23.796,1084.4,549.93,11.692
5.2734,1012.5,88.534,3.4224,22.208,1074.9,550.06,11.451
5.9776,1012.5,90.679,3.5983,23.447,1082.3,550.02,11.622
6.7676,1012.8,90.879,3.7007,24.205,1086.3,550.04,11.782
7.571,1013.0,90.3,3.7149,24.198,1085.8,549.87,11.8
9.2719,1013.2,91.475,3.8031,24.625,1088.5,549.87,11.92
11.351,1013.1,88.317,3.7048,24.376,1086.6,549.85,11.88
12.518,1012.6,79.374,3.6771,24.355,1085.9,549.71,11.897
13.1,1011.9,74.68,3.7101,24.391,1086.2,549.63,11.91
13.458,1011.7,72.249,3.7271,24.377,1086.6,549.83,11.856
13.429,1011.5,71.494,3.3986,22.019,1072.5,550.12,11.224
12.861,1011.7,76.197,3.4122,22.431,1074.5,549.7,11.324
12.259,1011.8,79.056,4.6624,32.286,1099.6,531.41,13.734
12.275,1011.8,77.068,4.5962,31.548,1099.7,533.5,13.602
12.005,1011.7,77.77,4.6351,32.055,1100.0,531.87,13.711
11.601,1011.6,80.789,4.6432,32.203,1100.1,530.83,13.84
11.782,1011.4,82.954,4.688,32.395,1100.1,530.46,13.912
12.624,1011.2,80.439,4.1993,28.359,1089.4,538.27,12.872
12.308,1010.9,79.564,3.5436,23.611,1081.9,549.7,11.785
11.432,1010.5,83.703,3.6061,24.101,1084.7,549.94,11.744
11.387,1010.1,86.534,3.6333,24.244,1085.4,549.83,11.846
11.736,1009.9,86.005,3.6463,24.214,1085.3,550.31,11.834
11.728,1009.4,79.251,3.6098,24.152,1084.7,549.91,11.828
11.384,1009.2,80.702,3.625,24.13,1084.4,549.87,11.822
11.087,1008.9,86.122,3.6199,24.085,1084.6,550.08,11.81
10.584,1008.7,91.258,3.5806,23.801,1083.4,550.16,11.725
10.181,1008.7,94.865,3.6288,24.167,1085.1,549.72,11.693
10.301,1008.5,96.316,3.6644,24.212,1084.8,549.17,11.896
10.422,1008.5,96.764,4.6879,32.175,1100.2,531.59,13.746
10.593,1008.1,98.27,4.722,32.482,1099.9,530.58,13.876
10.555,1007.8,99.104,4.6722,32.111,1100.3,531.44,13.894
10.528,1007.5,98.744,4.7348,32.48,1100.0,530.0,13.909
10.254,1007.4,98.075,4.6774,32.061,1100.2,530.75,13.918
9.8215,1007.7,96.687,4.6954,32.368,1099.9,529.5,13.953
8.7987,1008.1,96.521,4.6598,32.339,1099.8,529.7,13.831
7.9529,1008.5,97.918,4.6697,32.451,1100.0,529.03,13.922
7.4649,1009.6,96.515,4.7244,32.879,1099.9,527.6,14.073
7.321,1010.1,95.181,4.6731,32.662,1100.0,528.04,14.15
6.9685,1010.6,96.88,4.7564,33.258,1100.1,526.15,14.247
6.9214,1011.2,96.2,4.7221,33.053,1100.0,526.79,14.102
6.9549,1011.9,94.708,3.4844,23.463,1083.2,549.97,11.85
7.0389,1012.3,92.654,3.471,23.187,1082.0,549.94,11.673
7.1611,1012.8,90.72,3.6157,23.842,1085.4,550.11,11.772
7.3617,1013.5,88.991,3.6439,23.833,1085.8,549.72,11.844
7.2594,1014.1,89.669,3.6328,23.791,1085.6,550.06,11.816
6.9188,1014.5,89.859,3.6367,23.733,1085.4,549.9,11.789
6.8903,1014.7,88.165,3.6331,23.732,1085.8,550.06,11.761
6.7569,1015.1,88.41,3.6162,23.747,1085.5,550.24,11.733
6.7155,1015.7,88.174,3.5792,23.549,1084.4,549.88,11.727
6.817,1016.3,87.707,4.0272,27.276,1089.8,540.77,12.699
6.8973,1016.7,88.241,4.6468,32.598,1100.4,527.78,14.056
6.9282,1017.2,87.293,4.7146,33.185,1100.2,525.8,14.285
6.9957,1017.5,87.652,4.7299,32.966,1099.6,526.66,14.166
7.2848,1017.6,87.557,4.7188,32.71,1100.0,527.25,14.125
7.4902,1018.2,85.956,4.7466,32.894,1099.9,526.59,14.14
7.3078,1019.8,83.228,3.5579,23.395,1083.9,550.34,11.933
7.3157,1019.9,79.696,3.5724,23.556,1085.0,549.77,11.964
7.3168,1020.1,79.75,3.5541,23.397,1084.1,549.74,11.923
7.1878,1020.3,82.389,4.2138,28.507,1091.5,536.99,13.057
7.1168,1020.4,85.501,3.6638,24.208,1088.9,549.98,12.038
7.1325,1020.5,86.056,3.5491,23.282,1083.6,549.86,11.816
7.2618,1020.5,87.237,3.5916,23.529,1085.3,550.06,11.928
7.6137,1020.7,85.814,3.5924,23.531,1085.0,550.02,11.946
7.8848,1020.6,85.039,3.5931,23.475,1084.4,550.03,11.888
7.9395,1020.3,87.203,3.5841,23.426,1084.6,550.03,11.831
7.9592,1020.2,87.339,3.571,23.441,1084.7,549.82,11.793
7.9442,1020.4,86.646,3.5717,23.43,1084.5,550.12,11.716
8.0315,1020.7,88.747,3.5713,23.369,1084.3,549.87,11.759
8.1683,1020.7,89.104,4.3989,29.952,1095.9,534.49,13.427
8.4858,1021.1,87.738,4.8415,33.433,1100.1,525.18,14.294
9.2573,1021.2,84.579,4.8112,33.012,1100.1,526.68,14.196
10.061,1020.9,74.011,4.7807,32.484,1100.2,528.57,14.091
10.577,1020.4,71.694,4.8093,32.646,1100.3,528.01,14.136
10.628,1020.0,72.416,4.8102,32.513,1099.9,528.53,14.046
10.451,1020.2,73.394,4.826,32.661,1099.6,528.11,14.115
10.281,1020.4,69.09,4.8366,32.932,1099.9,526.84,14.148
10.055,1020.7,69.491,4.8172,32.892,1100.3,526.99,14.221
6.988,1021.5,82.347,3.5297,23.758,1083.8,548.96,11.937
6.6543,1021.5,82.293,3.4638,23.219,1082.5,549.8,11.787
5.4611,1021.8,87.63,3.4823,23.357,1083.3,549.71,11.825
5.8372,1022.1,86.775,3.4991,23.428,1083.5,549.79,11.775
7.0528,1022.2,79.474,3.5119,23.423,1083.5,550.18,11.682
7.1873,1022.5,79.304,3.4888,23.218,1082.5,550.04,11.725
6.6405,1022.1,82.613,3.5183,23.456,1084.1,549.92,11.884
6.1033,1021.9,81.523,3.4937,23.222,1083.0,549.98,11.836
5.4546,1021.6,81.919,3.4882,23.166,1083.0,549.84,11.787
5.1361,1021.7,82.833,3.4777,23.113,1082.8,550.06,11.715
4.9719,1022.0,84.008,3.527,23.5,1083.5,549.16,11.799
6.7097,1022.8,80.685,4.6852,32.874,1100.1,526.13,14.199
7.3372,1023.0,80.076,4.7698,33.322,1100.0,524.71,14.276
7.6952,1022.8,81.974,4.7001,32.961,1100.4,526.0,14.301
7.4018,1022.6,87.673,4.7564,33.441,1100.0,524.69,14.279
7.8167,1022.2,88.135,4.6605,32.893,1100.0,526.21,14.177
8.5781,1022.0,87.554,4.7183,33.079,1099.9,525.78,14.214
9.841,1022.2,77.791,4.7141,32.624,1099.6,527.61,14.095
10.084,1022.7,67.3,4.7721,33.023,1100.1,526.27,14.168
9.5484,1023.1,68.062,4.7413,32.928,1100.0,526.54,14.172
8.7161,1023.5,77.867,4.804,33.466,1100.3,525.02,14.288
8.3411,1023.6,83.747,4.7442,33.01,1100.1,526.64,14.224
7.9543,1023.7,84.187,4.818,33.623,1100.0,524.27,14.37
7.5402,1023.8,85.149,4.8032,33.582,1100.2,524.53,14.364
6.4237,1024.1,88.72,3.5543,23.638,1085.2,549.55,11.839
6.3186,1024.3,89.401,3.5375,23.242,1083.7,550.02,11.81
5.9587,1024.7,88.759,3.4538,22.41,1079.2,550.03,11.652
5.9384,1025.1,89.319,3.514,22.867,1081.8,550.26,11.748
5.7952,1025.2,90.142,3.6204,23.667,1086.2,549.92,11.891
5.7183,1025.1,90.048,3.6658,23.831,1086.7,549.92,11.93
5.9779,1025.3,90.087,3.6504,23.656,1085.9,549.96,11.888
6.0551,1025.7,89.869,3.6526,23.607,1086.0,550.03,11.782
6.1375,1026.0,90.147,4.0193,26.702,1088.6,540.97,12.639
6.1271,1026.3,91.663,4.6899,32.44,1100.2,527.88,13.989
6.4082,1026.6,93.512,4.7515,32.841,1099.9,526.79,14.169
7.6426,1026.7,95.243,4.8098,33.178,1100.1,526.12,14.21
9.4701,1026.4,91.873,4.821,33.135,1100.3,526.22,14.273
10.94,1026.0,80.793,4.7821,32.783,1100.1,528.13,14.061
11.613,1025.7,72.077,4.723,32.332,1100.0,529.62,13.924
12.066,1025.6,68.019,4.8046,33.026,1099.8,527.36,14.078
12.451,1025.6,66.261,4.7516,32.702,1100.0,528.41,14.137
12.165,1025.8,70.975,4.7775,32.942,1100.0,527.86,14.062
10.893,1025.8,81.178,4.7097,32.708,1099.7,528.3,14.0
9.7483,1026.0,84.442,4.7864,33.2,1099.9,525.95,14.201
8.6902,1026.2,86.248,4.8016,33.39,1100.1,525.48,14.35
5.3738,1025.5,92.997,3.6186,23.507,1085.0,549.87,11.809
5.4462,1025.4,92.273,3.6224,23.423,1084.1,550.09,11.691
5.6988,1025.2,91.298,3.6646,23.787,1085.7,550.11,11.742
5.8975,1025.0,89.942,3.6767,23.81,1086.0,549.91,11.792
6.2033,1025.0,90.333,3.6926,23.853,1086.2,549.94,11.843
6.664,1024.8,89.599,3.7025,23.866,1086.4,549.8,11.894
7.2426,1024.8,89.653,3.7199,23.986,1086.6,550.14,11.885
7.7232,1024.7,88.66,3.732,24.058,1087.1,549.78,11.831
8.2577,1025.2,89.225,4.9813,34.192,1099.7,523.64,14.29
8.7557,1025.2,90.718,4.9097,33.743,1100.2,524.57,14.35
10.034,1024.6,91.102,4.8665,33.093,1099.9,526.7,14.176
11.602,1024.0,86.834,4.8566,32.395,1100.1,529.12,14.129
12.244,1023.5,81.09,4.8762,32.81,1100.0,528.08,14.06
12.406,1023.4,78.961,4.8399,32.508,1100.0,529.14,13.979
12.235,1023.2,78.744,4.8588,32.91,1100.0,527.76,14.056
11.162,1023.5,83.697,4.8088,33.026,1099.9,527.36,14.059
10.391,1023.5,84.728,4.7811,32.868,1100.5,527.82,14.052
5.6607,1022.1,93.031,4.6318,31.87,1096.9,529.64,13.822
5.0722,1021.8,94.437,3.6508,23.742,1085.3,549.99,11.826
4.8119,1021.8,95.641,3.7089,23.956,1086.1,549.77,11.99
5.087,1021.6,95.333,3.701,23.889,1085.9,550.0,11.921
5.6301,1021.3,94.996,3.7019,23.865,1085.6,550.18,11.854
5.912,1021.1,92.325,3.6872,23.854,1085.5,550.21,11.872
6.126,1020.9,92.477,3.7003,23.902,1085.9,550.39,11.88
6.3422,1021.1,91.589,3.6948,23.902,1085.9,550.32,11.885
6.5693,1021.5,91.403,3.7042,23.949,1085.8,550.21,11.89
7.2088,1021.8,92.697,3.7357,24.037,1086.3,550.09,11.867
8.7186,1021.9,94.786,4.5142,30.271,1094.1,533.76,13.377
10.116,1021.3,95.289,4.8032,32.622,1100.2,529.29,13.981
11.933,1020.8,89.218,4.0719,26.939,1090.4,542.73,12.582
12.712,1020.6,80.097,3.6912,23.903,1085.0,550.08,11.916
12.786,1020.6,77.046,3.6758,23.884,1085.0,549.86,11.871
12.644,1020.6,78.916,3.6688,23.934,1084.8,549.62,11.843
12.359,1020.7,80.353,4.0105,26.621,1089.3,543.22,12.554
11.775,1021.1,85.075,4.7561,32.612,1099.8,528.97,13.863
11.103,1021.3,86.579,4.8001,32.942,1100.0,528.24,14.049
10.288,1021.5,90.595,4.8425,33.215,1100.4,526.67,14.231
10.327,1021.3,90.844,4.8256,33.116,1099.7,527.54,14.171
10.118,1021.1,91.666,4.8388,33.142,1100.3,527.23,14.188
9.7843,1021.3,92.58,3.9486,26.272,1088.3,543.65,12.422
9.4768,1021.3,92.894,3.6326,23.729,1084.5,549.81,11.756
8.9205,1021.3,92.746,3.624,23.664,1083.6,550.07,11.773
8.2064,1021.4,93.097,3.62,23.612,1083.4,549.85,11.781
7.2737,1021.4,92.66,3.5984,23.518,1083.6,550.06,11.749
6.8282,1021.6,94.082,3.5954,23.49,1083.5,550.03,11.684
6.5604,1022.0,94.003,3.582,23.467,1082.9,549.86,11.625
6.2478,1022.4,93.688,3.6292,23.899,1085.7,549.84,11.829
8.3623,1023.0,97.383,4.8415,33.19,1099.9,527.26,14.109
12.438,1022.7,89.87,4.826,32.61,1100.0,529.09,13.982
12.5,1022.2,88.542,4.7984,32.309,1100.0,530.33,13.898
12.734,1022.3,87.678,4.8288,32.536,1099.9,529.32,13.963
13.173,1022.3,87.318,4.7692,32.168,1100.0,530.5,13.886
13.22,1022.4,88.004,4.815,32.671,1100.1,528.65,13.985
12.585,1022.4,86.053,4.7732,32.569,1100.0,529.47,13.966
11.631,1022.6,88.012,4.8621,33.207,1100.0,526.92,14.145
10.248,1022.5,88.104,4.8049,32.98,1100.2,527.4,14.142
9.3432,1022.3,88.377,4.838,33.314,1100.3,526.04,14.256
8.672,1022.3,91.782,4.8685,33.303,1099.9,525.88,14.262
8.2761,1021.7,97.845,4.6235,31.101,1096.3,531.58,13.543
8.8891,1021.4,96.629,3.6468,23.808,1085.0,549.87,11.9
9.2962,1021.4,94.508,3.6242,23.706,1084.3,550.17,11.821
9.2916,1021.0,94.266,3.6384,23.746,1084.0,550.0,11.794
9.2871,1020.7,94.223,3.638,23.753,1084.2,549.79,11.801
9.2303,1020.5,94.5,3.645,23.765,1084.6,550.1,11.799
9.1345,1020.4,94.833,3.6445,23.758,1084.1,550.02,11.766
9.1202,1020.5,94.625,3.6461,23.781,1084.4,550.15,11.832
9.2353,1020.5,95.418,4.5044,30.303,1093.6,533.46,13.374
9.5996,1020.4,95.576,4.7824,32.468,1100.1,529.48,13.939
10.721,1020.1,95.343,4.8516,32.736,1100.0,528.55,14.015
11.886,1019.5,89.475,4.7898,32.239,1100.2,530.17,13.959
12.592,1018.8,85.4,4.8055,32.402,1100.3,529.86,13.975
13.208,1018.1,82.978,4.7682,32.127,1100.4,530.93,13.922
13.182,1017.8,82.286,4.8112,32.429,1100.3,529.97,13.992
13.311,1017.7,84.476,4.7736,32.195,1100.1,530.61,13.94
13.56,1017.7,83.76,4.8042,32.644,1100.3,529.17,14.057
13.103,1017.8,84.476,4.7299,32.03,1100.1,531.41,13.697
10.367,1017.5,90.466,4.8384,33.001,1100.4,527.98,14.152
9.7836,1017.3,92.113,4.894,33.387,1100.1,526.43,14.275
8.2631,1016.5,93.554,4.2122,27.687,1089.2,539.82,12.76
7.7477,1016.2,93.583,3.6428,23.444,1082.2,550.24,11.588
7.3956,1016.2,93.31,3.6882,23.879,1084.9,550.41,11.766
7.0925,1015.9,93.957,3.7034,23.965,1085.2,549.94,11.852
7.4034,1015.7,94.204,3.6936,24.076,1085.6,549.95,11.844
7.2227,1015.6,91.876,3.6666,24.002,1085.5,549.94,11.814
7.0146,1015.7,92.455,3.6691,23.96,1085.0,550.05,11.727
6.861,1015.8,93.262,3.7623,24.448,1085.6,548.98,11.962
9.5474,1015.7,98.67,4.8702,32.788,1100.0,528.58,14.063
11.265,1015.5,99.276,4.8928,32.425,1100.3,530.54,14.033
11.983,1015.0,98.048,4.9118,32.547,1100.1,529.53,13.958
12.924,1014.6,88.292,4.7722,32.085,1100.1,531.33,13.834
13.483,1014.6,81.25,4.8163,32.508,1100.2,530.34,13.919
13.906,1014.7,75.511,4.7627,32.098,1100.1,531.17,13.819
13.739,1014.8,77.475,4.794,32.399,1100.0,530.43,13.859
13.411,1015.1,79.323,4.7595,32.343,1100.0,530.84,13.731
13.029,1015.3,79.184,4.783,32.607,1100.0,529.96,13.972
10.725,1015.3,86.43,4.8525,33.15,1100.0,527.31,14.111
10.419,1015.2,89.751,4.843,32.874,1100.3,528.13,14.114
10.106,1015.2,90.738,4.8782,33.161,1100.0,527.24,14.139
9.6368,1015.1,91.765,4.843,32.868,1099.9,528.35,14.024
